"ref ID","partner ID","ref date","user ID","registration date","payment ID","payment date","payment amount","revenue in cents","payment service ID","payment provider",platform,place,country,"last app"
,,,118464518,"2018-05-07 07:58:50",1,"2018-05-07 08:00:19",799,559,147,"Деньги от Google Play",fb,LeftMenu,UA,topfacemobappandroid
,,,118238785,"2018-04-29 17:39:54",1,"2018-04-30 21:28:43",999,969,147,"Деньги от Payment Ninja",fb,Visitors,TR,topfacemobappandroid
,,,118037121,"2018-04-20 11:50:46",3,"2018-04-23 13:51:14",1957,1369,147,"Деньги от Google Play",fb,TrialVipPopup,LV,topfacemobappandroid
,,,118069236,"2018-04-21 23:51:15",5,"2018-04-25 15:14:19",300,291,67,"Деньги от Payment Ninja",fb,EmptyLikes,UA,topfacemobappandroid
8908,42,"2018-04-16 16:48:06",117806210,"2018-04-10 09:09:14",3,"2018-04-20 13:00:00",1399,979,147,"Деньги от Google Play",fb,Dating,US,topfacemobappandroid
,,,117634239,"2018-04-03 00:52:48",4,"2018-05-06 03:38:11",1601,1120,147,"Деньги от Google Play",fb,TrialVipPopup,AR,topfacemobappandroid
,,,117812785,"2018-04-10 21:37:17",11,"2018-04-10 23:42:01",100,97,19,"Деньги от Payment Ninja",fb,autorefill,RU,topfacemobappandroid
,,,117877029,"2018-04-14 10:55:55",6,"2018-04-15 14:20:47",53,37,19,"Деньги от Google Play",fb,EmptyLikes,TR,topfacemobappandroid
,,,117980646,"2018-04-18 03:29:33",1,"2018-04-18 03:33:46",999,969,147,"Деньги от Payment Ninja",fb,Dating,CO,topfacemobappandroid
,,,118601907,"2018-05-10 21:01:19",6,"2018-05-13 23:07:01",1386,970,147,"Деньги от Google Play",fb,LeftMenu,IN,topfacemobappandroid
,,,117707418,"2018-04-06 11:06:36",10,"2018-04-11 16:47:17",100,97,19,"Деньги от Payment Ninja",fb,autorefill,RU,topfacemobappandroid
,,,118350335,"2018-05-03 18:40:52",3,"2018-05-06 20:41:23",1205,843,147,"Деньги от Google Play",fb,TrialVipPopup,UA,topfacemobappandroid
,,,118183749,"2018-04-27 11:27:34",2,"2018-04-27 11:46:51",285,199,77,"Деньги от Google Play",fb,BadaboomFilterScreen,IN,topfacemobappandroid
9430,63,"2018-05-09 13:56:06",118502214,"2018-05-07 22:59:22",1,"2018-05-09 21:58:16",499,484,147,"Деньги от Payment Ninja",fb,promo.key31,UA,topfacemobappandroid
